"","SampleCode","ChemCode","OriginalChemName","Prefix","Result","Result_Unit","Total_or_Filtered","Result_Type","Method_Type","Method_Name","Extraction_Date","Analysed_Date","Lab_Analysis_ID","Lab_Preperation_Batch_ID","Lab_Analysis_Batch_ID","EQL","RDL","MDL","ODL","Detection_Limit_Units","Lab_Comments","Lab_Qualifier","UCL","LCL","Dilution_Factor","Spike_Concentration","Spike_Measurement","Spike_Units"
"24","24-03764_IW-2024-129_Dup","7440-50-8","Copper","",1.47,"ug/L","T","REG","Total","EPA 200.8","3/6/2024 0:00","3/6/2024 0:00","24-03764","24-03764","IW-2024-129",0.3,2,0.3,NA,"ug/L","","",NA,NA,1,NA,NA,""
"25","24-03764_WC1-2024-112_BLK","Hardness","Hardness","<",10,"mg/L","T","SC","Total","SM 2340C","3/6/2024 0:00","3/6/2024 0:00","24-03764","24-03764","WC1-2024-112",1,10,1,NA,"mg/L","","",NA,NA,1,NA,NA,""
"26","24-03764_WC1-2024-112_LFB","Hardness","Hardness","",100,"%","T","SC","Total","SM 2340C","3/6/2024 0:00","3/6/2024 0:00","24-03764","24-03764","WC1-2024-112",1,10,1,NA,"mg/L","","",110,90,1,100,100,"mg/L"
"27","24-03764_WC1-2024-112_Dup","Hardness","Hardness","",46,"mg/L","T","REG","Total","SM 2340C","3/6/2024 0:00","3/6/2024 0:00","24-03764","24-03764","WC1-2024-112",1,10,1,NA,"mg/L","","",NA,NA,1,NA,NA,""
"28","24-03764_WC1-2024-102_BLK","TSS","TSS","<",1,"mg/L","T","SC","Total","SM 2540D","3/1/2024","3/1/2024","24-03764","24-03764","WC1-2024-102",1,1,1,NA,"mg/L","","",NA,NA,1,NA,NA,""
"29","24-03764_WC1-2024-102_LFB","TSS","TSS","",94.9,"%","T","SC","Total","SM 2540D","3/1/2024","3/1/2024","24-03764","24-03764","WC1-2024-102",1,10,1,NA,"mg/L","","",106.7,90.1,1,1000,949,"mg/L"
"30","24-03764_WC1-2024-102_Dup","TSS","TSS","",12.3,"mg/L","T","REG","Total","SM 2540D","3/1/2024","3/1/2024","24-03764","24-03764","WC1-2024-102",1,20,1,NA,"mg/L","","",NA,NA,1,NA,NA,""
"31","24-03764_WC3_2024_60_BLK","OrthoPhosphorus","OrthoPhosphorus","<",0.013,"mg/L","T","SC","Total","EPA 300.0","3/1/2024","3/1/2024","24-03764","24-03764","WC3_2024_60",0.013,0.05,0.013,NA,"mg/L","","",NA,NA,1,NA,NA,""
"32","24-03764_WC3_2024_60_LFB","OrthoPhosphorus","OrthoPhosphorus","",98.6,"%","T","SC","Total","EPA 300.0","3/1/2024","3/1/2024","24-03764","24-03764","WC3_2024_60",0.013,0.05,0.013,NA,"mg/L","","",110,90,1,5,4.93,"mg/L"
"33","24-03764_WC3_2024_60_MS","OrthoPhosphorus","OrthoPhosphorus","",92,"%","T","SC","Total","EPA 300.0","3/1/2024","3/1/2024","24-03764","24-03764","WC3_2024_60",0.013,0.05,0.013,NA,"mg/L","","",120,80,1,5,4.599,"mg/L"
"34","24-03764_WC3_2024_60_Dup","OrthoPhosphorus","OrthoPhosphorus","<",0.05,"mg/L","T","REG","Total","EPA 300.0","3/1/2024","3/1/2024","24-03764","24-03764","WC3_2024_60",0.013,0.05,0.013,NA,"mg/L","","",NA,NA,1,NA,NA,""
"35","24C0045_24C0045-01","7440-66-6","Zinc","",25.2,"ug/L","T","REG","Total","EPA 200.8 UCT-KED","3/12/2024 11:50","3/12/2024 20:50","XDTm1240312085","BMC0270","SMC0169",2.92,6,2.92,NA,"ug/L","Lab Batch BMC0270","",NA,NA,1,NA,NA,""
"36","24C0045_24C0045-01","7723-14-0","Phosphorus","",0.074,"mg/L","T","REG","Total","SM 4500-P E-11","3/4/2024 12:49","3/6/2024 13:55","PO4TD0306232029","BMC0064","SMC0090",0.008,0.008,0.008,NA,"mg/L","Lab Batch BMC0064","",NA,NA,1,NA,NA,""
"37","24C0045_24C0045-02","7440-66-6","Zinc","",16.1,"ug/L","F","REG","Dissolved","EPA 200.8 UCT-KED","3/15/2024 11:47","3/15/2024 22:10","XDTm1240315a065","BMC0403","SMC0249",2.92,6,2.92,NA,"ug/L","Lab Batch BMC0403","",NA,NA,1,NA,NA,""
"38","24C0045_24C0045-03","7440-66-6","Zinc","",3.17,"ug/L","T","REG","Total","EPA 200.8 UCT-KED","3/12/2024 11:50","3/12/2024 21:08","XDTm1240312089","BMC0270","SMC0169",2.92,6,2.92,NA,"ug/L","Lab Batch BMC0270","J",NA,NA,1,NA,NA,""
"39","24C0045_24C0045-03","7723-14-0","Phosphorus","",0.021,"mg/L","T","REG","Total","SM 4500-P E-11","3/4/2024 12:49","3/6/2024 13:56","PO4TD0306232030","BMC0064","SMC0090",0.008,0.008,0.008,NA,"mg/L","Lab Batch BMC0064","",NA,NA,1,NA,NA,""
"40","24C0045_24C0045-04","7440-66-6","Zinc","",3.82,"ug/L","F","REG","Dissolved","EPA 200.8 UCT-KED","3/15/2024 11:47","3/15/2024 22:15","XDTm1240315a066","BMC0403","SMC0249",2.92,6,2.92,NA,"ug/L","Lab Batch BMC0403","J",NA,NA,1,NA,NA,""
"41","24C0045_BMC0064-BLK1","7723-14-0","Phosphorus","<",0.008,"mg/L","T","REG","Total","SM 4500-P E-11","3/4/2024 12:49","3/6/2024 13:34","PO4TD0306232010","BMC0064","SMC0090",0.008,0.008,0.008,NA,"mg/L","Lab Batch BMC0064","U",NA,NA,1,NA,NA,""
"42","24C0045_BMC0064-BLK2","7723-14-0","Phosphorus","<",0.008,"mg/L","T","REG","Total","SM 4500-P E-11","3/4/2024 12:49","3/6/2024 13:48","PO4TD0306232022","BMC0064","SMC0090",0.008,0.008,0.008,NA,"mg/L","Lab Batch BMC0064","U",NA,NA,1,NA,NA,""
"43","24C0045_BMC0064-BLK3","7723-14-0","Phosphorus","<",0.008,"mg/L","T","REG","Total","SM 4500-P E-11","3/4/2024 12:49","3/6/2024 13:57","PO4TD0306232031","BMC0064","SMC0090",0.008,0.008,0.008,NA,"mg/L","Lab Batch BMC0064","U",NA,NA,1,NA,NA,""
"44","24C0045_BMC0064-BS1","7723-14-0","Phosphorus","",102,"%","T","SC","Total","SM 4500-P E-11","3/4/2024 12:49","3/6/2024 13:34","PO4TD0306232011","BMC0064","SMC0090",0.008,0.008,0.008,NA,"mg/L","Lab Batch BMC0064","",110,90,1,0.15,0.153,"mg/L"
"45","24C0045_BMC0064-BS2","7723-14-0","Phosphorus","",102,"%","T","SC","Total","SM 4500-P E-11","3/4/2024 12:49","3/6/2024 13:49","PO4TD0306232023","BMC0064","SMC0090",0.008,0.008,0.008,NA,"mg/L","Lab Batch BMC0064","",110,90,1,0.15,0.153,"mg/L"
"46","24C0045_BMC0064-BS3","7723-14-0","Phosphorus","",102,"%","T","SC","Total","SM 4500-P E-11","3/4/2024 12:49","3/6/2024 13:58","PO4TD0306232032","BMC0064","SMC0090",0.008,0.008,0.008,NA,"mg/L","Lab Batch BMC0064","",110,90,1,0.15,0.153,"mg/L"
"47","24C0045_BMC0270-BLK1","7440-66-6","Zinc","<",2.92,"ug/L","T","REG","Total","EPA 200.8 UCT-KED","3/12/2024 11:50","3/12/2024 20:04","XDTm2240312040","BMC0270","SMC0165",2.92,6,2.92,NA,"ug/L","Lab Batch BMC0270","U",NA,NA,1,NA,NA,""
"48","24C0045_BMC0270-BS1","7440-66-6","Zinc","",98.3,"%","T","SC","Total","EPA 200.8 UCT-KED","3/12/2024 11:50","3/12/2024 20:09","XDTm2240312041","BMC0270","SMC0165",2.92,6,2.92,NA,"ug/L","Lab Batch BMC0270","",120,80,1,80,78.7,"ug/L"
"49","24C0045_BMC0403-BLK1","7440-66-6","Zinc","<",2.92,"ug/L","F","REG","Dissolved","EPA 200.8 UCT-KED","3/15/2024 11:47","3/15/2024 16:51","XDTm2240316027","BMC0403","SMC0248",2.92,6,2.92,NA,"ug/L","Lab Batch BMC0403","U",NA,NA,1,NA,NA,""
"50","24C0045_BMC0403-BS1","7440-66-6","Zinc","",114,"%","F","SC","Dissolved","EPA 200.8 UCT-KED","3/15/2024 11:47","3/15/2024 16:56","XDTm2240316028","BMC0403","SMC0248",2.92,6,2.92,NA,"ug/L","Lab Batch BMC0403","",120,80,1,80,91.1,"ug/L"
