SDG,Laboratory Contact,Destination Laboratory,Date Sent,Relinquished By,Primary Contact,Turnaround Request,Special Instructions,Cooled,Lab Quote No,Lab Recipient,Lab Report Number,Lab Name,Project ID,Date Reported,Project Name,Lab Signatory,Report Recipient1,Expiration Date,Lab Contact Email,Primary Recipient Org,Site,Sample Code,Field ID,Sampled Date Time,Location Code,Well,Sample Depth From,Sample Depth To,Matrix Type,Sample Type,Parent Sample,Sample Comments,Sampled By,Sampling Method,Lab Sample ID,Lab Comments,Chem Code,Original Chem Name,Prefix,Result,Result Unit,Total or Filtered,Result Type,Method Type,Method Name,Extraction Date,Analysed Date,EQL,EQL Units,Lab Comments,Lab Qualifier,UCL,LCL,MDL,RDL,Dilution Factor,Spike Concentration,Spike Measurement,Spike Units,Lab Preperation Batch ID,Lab Analysis Batch ID,Lab Analysis ID,Extraction Method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410-172,Karl Hornyik,OnSite Environmental Inc.,10/11/24,Herrera,David Garcia,,,,,,2410-172,OnSite Environmental Inc.,"19-07202-006, Task 18",10/21/24,Bellevue Utilities Environment Monitoring,Karl Hornyik,David Garcia,,dbaumeister@onsite-env.com,Herrera,Bellevue Utilities Environment Monitoring,2410-172-01,RichardsBelRM0.4-20241011,10/11/2024 11:20,,,,,Water,Normal,,,David Garcia,,2410-172-01,,TURBIDITY,Turbidity,,2.2,NTU,T,REG,Wet Chemistry,EPA 180.1,10/11/2024,10/11/2024,0.10,NTU,,,,,,0.10,,,,,10/11/2024_EPA 180.1,10/11/2024_EPA 180.1,10/11/2024_EPA 180.1,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410-172,Karl Hornyik,OnSite Environmental Inc.,10/11/24,Herrera,David Garcia,,,,,,2410-172,OnSite Environmental Inc.,"19-07202-006, Task 18",10/21/24,Bellevue Utilities Environment Monitoring,Karl Hornyik,David Garcia,,dbaumeister@onsite-env.com,Herrera,Bellevue Utilities Environment Monitoring,2410-172-02,VasaBelRM0.1-20241011,10/11/2024 10:20,,,,,Water,Normal,,,David Garcia,,2410-172-02,,TURBIDITY,Turbidity,,5.1,NTU,T,REG,Wet Chemistry,EPA 180.1,10/11/2024,10/11/2024,0.10,NTU,,,,,,0.10,,,,,10/11/2024_EPA 180.1,10/11/2024_EPA 180.1,10/11/2024_EPA 180.1,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410-172,Karl Hornyik,OnSite Environmental Inc.,10/11/24,Herrera,David Garcia,,,,,,2410-172,OnSite Environmental Inc.,"19-07202-006, Task 18",10/21/24,Bellevue Utilities Environment Monitoring,Karl Hornyik,David Garcia,,dbaumeister@onsite-env.com,Herrera,Bellevue Utilities Environment Monitoring,2410-172-03,WestTribFarmRM0.4-20241011,10/11/2024 11:35,,,,,Water,Normal,,,David Garcia,,2410-172-03,,TURBIDITY,Turbidity,,2.2,NTU,T,REG,Wet Chemistry,EPA 180.1,10/11/2024,10/11/2024,0.10,NTU,,,,,,0.10,,,,,10/11/2024_EPA 180.1,10/11/2024_EPA 180.1,10/11/2024_EPA 180.1,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410-172,Karl Hornyik,OnSite Environmental Inc.,10/11/24,Herrera,David Garcia,,,,,,2410-172,OnSite Environmental Inc.,"19-07202-006, Task 18",10/21/24,Bellevue Utilities Environment Monitoring,Karl Hornyik,David Garcia,,dbaumeister@onsite-env.com,Herrera,Bellevue Utilities Environment Monitoring,2410-172-04,ValleyAPTS_21-20241011,10/11/2024 11:00,,,,,Water,Normal,,,David Garcia,,2410-172-04,,TURBIDITY,Turbidity,,1.9,NTU,T,REG,Wet Chemistry,EPA 180.1,10/11/2024,10/11/2024,0.10,NTU,,,,,,0.10,,,,,10/11/2024_EPA 180.1,10/11/2024_EPA 180.1,10/11/2024_EPA 180.1,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410-172,Karl Hornyik,OnSite Environmental Inc.,10/11/24,Herrera,David Garcia,,,,,,2410-172,OnSite Environmental Inc.,"19-07202-006, Task 18",10/21/24,Bellevue Utilities Environment Monitoring,Karl Hornyik,David Garcia,,dbaumeister@onsite-env.com,Herrera,Bellevue Utilities Environment Monitoring,2410-172-05,YarrowMain_21-20241011,10/11/2024 09:30,,,,,Water,Normal,,,David Garcia,,2410-172-05,,TURBIDITY,Turbidity,,2.9,NTU,T,REG,Wet Chemistry,EPA 180.1,10/11/2024,10/11/2024,0.10,NTU,,,,,,0.10,,,,,10/11/2024_EPA 180.1,10/11/2024_EPA 180.1,10/11/2024_EPA 180.1,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410-172,Karl Hornyik,OnSite Environmental Inc.,10/11/24,Herrera,David Garcia,,,,,,2410-172,OnSite Environmental Inc.,"19-07202-006, Task 18",10/21/24,Bellevue Utilities Environment Monitoring,Karl Hornyik,David Garcia,,dbaumeister@onsite-env.com,Herrera,Bellevue Utilities Environment Monitoring,2410-172-06,NewportBelRM0.0-20241011,10/11/2024 09:35,,,,,Water,Normal,,,David Garcia,,2410-172-06,,TURBIDITY,Turbidity,,1.9,NTU,T,REG,Wet Chemistry,EPA 180.1,10/11/2024,10/11/2024,0.10,NTU,,,,,,0.10,,,,,10/11/2024_EPA 180.1,10/11/2024_EPA 180.1,10/11/2024_EPA 180.1,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410-172,Karl Hornyik,OnSite Environmental Inc.,10/11/24,Herrera,David Garcia,,,,,,2410-172,OnSite Environmental Inc.,"19-07202-006, Task 18",10/21/24,Bellevue Utilities Environment Monitoring,Karl Hornyik,David Garcia,,dbaumeister@onsite-env.com,Herrera,Bellevue Utilities Environment Monitoring,2410-172-07,QA25Tier2-20241011,10/11/2024 11:35,,,,,Water,Normal,,,David Garcia,,2410-172-07,,TURBIDITY,Turbidity,,2.7,NTU,T,REG,Wet Chemistry,EPA 180.1,10/11/2024,10/11/2024,0.10,NTU,,,,,,0.10,,,,,10/11/2024_EPA 180.1,10/11/2024_EPA 180.1,10/11/2024_EPA 180.1,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410-172,Karl Hornyik,OnSite Environmental Inc.,10/11/24,Herrera,David Garcia,,,,,,2410-172,OnSite Environmental Inc.,"19-07202-006, Task 18",10/21/24,Bellevue Utilities Environment Monitoring,Karl Hornyik,David Garcia,,dbaumeister@onsite-env.com,Herrera,Bellevue Utilities Environment Monitoring,24MB1011W1,24MB1011W1,,,,,,Water,MB,,,David Garcia,,24MB1011W1,,TURBIDITY,Turbidity,<,0.10,NTU,T,REG,Wet Chemistry,EPA 180.1,10/11/2024,10/11/2024,0.10,NTU,,,,,,0.10,,,,,10/11/2024_EPA 180.1,10/11/2024_EPA 180.1,10/11/2024_EPA 180.1,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410-172,Karl Hornyik,OnSite Environmental Inc.,10/11/24,Herrera,David Garcia,,,,,,2410-172,OnSite Environmental Inc.,"19-07202-006, Task 18",10/21/24,Bellevue Utilities Environment Monitoring,Karl Hornyik,David Garcia,,dbaumeister@onsite-env.com,Herrera,Bellevue Utilities Environment Monitoring,2410-161-01 DUP,2410-161-01 DUP,,,,,,Water,LAB_D,NCP,,David Garcia,,2410-161-01 DUP,,TURBIDITY,Turbidity,,3.71,NTU,T,REG,Wet Chemistry,EPA 180.1,10/11/2024,10/11/2024,0.10,NTU,,,,,,0.10,,,,,10/11/2024_EPA 180.1,10/11/2024_EPA 180.1,10/11/2024_EPA 180.1,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410-172,Karl Hornyik,OnSite Environmental Inc.,10/11/24,Herrera,David Garcia,,,,,,2410-172,OnSite Environmental Inc.,"19-07202-006, Task 18",10/21/24,Bellevue Utilities Environment Monitoring,Karl Hornyik,David Garcia,,dbaumeister@onsite-env.com,Herrera,Bellevue Utilities Environment Monitoring,2410-172-01,RichardsBelRM0.4-20241011,10/11/2024 11:20,,,,,Water,Normal,,,David Garcia,,2410-172-01,,7723-14-0,Total Phosphorus,,0.067,mg/L,T,REG,Wet Chemistry,EPA 365.1,10/14/2024,10/15/2024,0.011,mg/L,,,,,,0.011,,,,,10/14/2024_EPA 365.1,10/14/2024_EPA 365.1,10/14/2024_EPA 365.1,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410-172,Karl Hornyik,OnSite Environmental Inc.,10/11/24,Herrera,David Garcia,,,,,,2410-172,OnSite Environmental Inc.,"19-07202-006, Task 18",10/21/24,Bellevue Utilities Environment Monitoring,Karl Hornyik,David Garcia,,dbaumeister@onsite-env.com,Herrera,Bellevue Utilities Environment Monitoring,2410-172-02,VasaBelRM0.1-20241011,10/11/2024 10:20,,,,,Water,Normal,,,David Garcia,,2410-172-02,,7723-14-0,Total Phosphorus,,0.033,mg/L,T,REG,Wet Chemistry,EPA 365.1,10/14/2024,10/15/2024,0.011,mg/L,,,,,,0.011,,,,,10/14/2024_EPA 365.1,10/14/2024_EPA 365.1,10/14/2024_EPA 365.1,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410-172,Karl Hornyik,OnSite Environmental Inc.,10/11/24,Herrera,David Garcia,,,,,,2410-172,OnSite Environmental Inc.,"19-07202-006, Task 18",10/21/24,Bellevue Utilities Environment Monitoring,Karl Hornyik,David Garcia,,dbaumeister@onsite-env.com,Herrera,Bellevue Utilities Environment Monitoring,2410-172-03,WestTribFarmRM0.4-20241011,10/11/2024 11:35,,,,,Water,Normal,,,David Garcia,,2410-172-03,,7723-14-0,Total Phosphorus,,0.047,mg/L,T,REG,Wet Chemistry,EPA 365.1,10/14/2024,10/15/2024,0.011,mg/L,,,,,,0.011,,,,,10/14/2024_EPA 365.1,10/14/2024_EPA 365.1,10/14/2024_EPA 365.1,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410-172,Karl Hornyik,OnSite Environmental Inc.,10/11/24,Herrera,David Garcia,,,,,,2410-172,OnSite Environmental Inc.,"19-07202-006, Task 18",10/21/24,Bellevue Utilities Environment Monitoring,Karl Hornyik,David Garcia,,dbaumeister@onsite-env.com,Herrera,Bellevue Utilities Environment Monitoring,2410-172-04,ValleyAPTS_21-20241011,10/11/2024 11:00,,,,,Water,Normal,,,David Garcia,,2410-172-04,,7723-14-0,Total Phosphorus,,0.040,mg/L,T,REG,Wet Chemistry,EPA 365.1,10/14/2024,10/15/2024,0.011,mg/L,,,,,,0.011,,,,,10/14/2024_EPA 365.1,10/14/2024_EPA 365.1,10/14/2024_EPA 365.1,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
