"","OriginalChemName","Result","MDL","RDL","SampleCode","ChemCode","Prefix","Result_Unit","Total_or_Filtered","Result_Type","Method_Type","Method_Name","Extraction_Date","Anaysed_Date","Lab_Analysis_ID","Lab_Preperation_Batch_ID","Lab_Analysis_Batch_ID","EQL","ODL","Detection_Limit_Units","Lab_Comments","Lab_Qualifier","UCL","LCL","Dilution_Factor","Spike_Concentration","Spike_Measurement","Spike_Units"
"18","Dissolved Oxygen, Field",9.81,0.5,1,"L84195_L84196-3",NA,"","mg/L","","REG","","KCEL SOP# 245","7/10/2024 12:06","7/10/2024 12:06","L84196-3","","",1,"","mg/L","","","","",1,"","",""
"19","Dissolved Oxygen, Field",4.88,0.5,1,"L84195_L84196-4",NA,"","mg/L","","REG","","KCEL SOP# 245","7/10/2024 12:46","7/10/2024 12:46","L84196-4","","",1,"","mg/L","","","","",1,"","",""
"20","Escherichia coli",470,NA,NA,"L84195_L84161-11",NA,"","CFU/100ml","","REG","","SM 9213D3B 23RD","7/9/2024 15:15","7/10/2024 13:30","L84161-11","","",NA,"","CFU/100ml","","","","",1,"","",""
"21","Escherichia coli",240,NA,NA,"L84195_L84195-3",NA,"","CFU/100ml","","REG","","SM 9213D3B 23RD","7/10/2024 14:55","7/11/2024 12:55","L84195-3","","",NA,"","CFU/100ml","","","","",1,"","",""
"22","Escherichia coli",100,NA,NA,"L84195_L84196-3",NA,"","CFU/100ml","","REG","","SM 9213D3B 23RD","7/10/2024 14:55","7/11/2024 12:55","L84196-3","","",NA,"","CFU/100ml","","","","",1,"","",""
"23","Escherichia coli",78,NA,NA,"L84195_L84196-4",NA,"","CFU/100ml","","REG","","SM 9213D3B 23RD","7/10/2024 14:55","7/11/2024 12:55","L84196-4","","",NA,"","CFU/100ml","","","","",1,"","",""
"24","Fecal Coliform",79,NA,NA,"L84195_L84196-3",NA,"","CFU/100ml","","REG","","SM 9222D 23RD","7/10/2024 16:00","7/11/2024 14:00","L84196-3","","",NA,"","CFU/100ml","","H,TA","","",1,"","",""
"25","Field Personnel",NA,NA,NA,"L84195_L84161-11",NA,"","none","","REG","","NONE","","","L84161-11","","",NA,"","none","","","","",1,"","",""
"26","Field Personnel",NA,NA,NA,"L84195_L84195-1",NA,"","none","","REG","","NONE","","","L84195-1","","",NA,"","none","","","","",1,"","",""
"27","Field Personnel",NA,NA,NA,"L84195_L84195-2",NA,"","none","","REG","","NONE","","","L84195-2","","",NA,"","none","","","","",1,"","",""
"28","Field Personnel",NA,NA,NA,"L84195_L84195-3",NA,"","none","","REG","","NONE","","","L84195-3","","",NA,"","none","","","","",1,"","",""
"29","Field Personnel",NA,NA,NA,"L84195_L84195-4",NA,"","none","","REG","","NONE","","","L84195-4","","",NA,"","none","","","","",1,"","",""
"30","Field Personnel",NA,NA,NA,"L84195_L84196-3",NA,"","none","","REG","","NONE","","","L84196-3","","",NA,"","none","","","","",1,"","",""
"31","Field Personnel",NA,NA,NA,"L84195_L84196-4",NA,"","none","","REG","","NONE","","","L84196-4","","",NA,"","none","","","","",1,"","",""
"32","Hardness, Calc",239,0.331,0.331,"L84195_L84195-1",NA,"","mg CaCO3/L","","REG","","EPA 200.8 (MOD)*SM2340B","7/16/2024 11:03","7/17/2024 11:07","L84195-1","","",0.331,"","mg CaCO3/L","","","","",1,"","",""
"33","Hardness, Calc",125,0.331,0.331,"L84195_L84195-2",NA,"","mg CaCO3/L","","REG","","EPA 200.8 (MOD)*SM2340B","7/16/2024 11:03","7/17/2024 11:07","L84195-2","","",0.331,"","mg CaCO3/L","","","","",1,"","",""
"34","Hardness, Calc",118,0.331,0.331,"L84195_L84195-3",NA,"","mg CaCO3/L","","REG","","EPA 200.8 (MOD)*SM2340B","7/16/2024 11:03","7/17/2024 11:07","L84195-3","","",0.331,"","mg CaCO3/L","","","","",1,"","",""
"35","Hardness, Calc",65.7,0.331,0.331,"L84195_L84195-4",NA,"","mg CaCO3/L","","REG","","EPA 200.8 (MOD)*SM2340B","7/16/2024 11:03","7/17/2024 11:07","L84195-4","","",0.331,"","mg CaCO3/L","","","","",1,"","",""
"36","Magnesium, Total, ICP-MS",28000,50,50,"L84195_L84195-1",NA,"","ug/L","","REG","","EPA 200.8 (MOD)","7/16/2024 11:03","7/17/2024 8:31","L84195-1","","",50,"","ug/L","","","","",1,"","",""
"37","Magnesium, Total, ICP-MS",14300,50,50,"L84195_L84195-2",NA,"","ug/L","","REG","","EPA 200.8 (MOD)","7/16/2024 11:03","7/17/2024 8:42","L84195-2","","",50,"","ug/L","","","","",1,"","",""
"38","Magnesium, Total, ICP-MS",14800,50,50,"L84195_L84195-3",NA,"","ug/L","","REG","","EPA 200.8 (MOD)","7/16/2024 11:03","7/17/2024 8:46","L84195-3","","",50,"","ug/L","","","","",1,"","",""
"39","Magnesium, Total, ICP-MS",5080,50,50,"L84195_L84195-4",NA,"","ug/L","","REG","","EPA 200.8 (MOD)","7/16/2024 11:03","7/17/2024 8:50","L84195-4","","",50,"","ug/L","","","","",1,"","",""
"40","Nitrite + Nitrate Nitrogen",0.461,0.01,0.04,"L84195_L84161-11",NA,"","mg/L","","REG","","SM4500-NO3-F","7/10/2024 8:08","7/10/2024 11:55","L84161-11","","",0.04,"","mg/L","","","","",1,"","",""
"41","Nitrite + Nitrate Nitrogen",0.192,0.01,0.04,"L84195_L84196-3",NA,"","mg/L","","REG","","SM4500-NO3-F","7/11/2024 8:13","7/11/2024 11:44","L84196-3","","",0.04,"","mg/L","","","","",1,"","",""
"42","Nitrite + Nitrate Nitrogen",0.019,0.01,0.04,"L84195_L84196-4",NA,"","mg/L","","REG","","SM4500-NO3-F","7/11/2024 8:13","7/11/2024 11:56","L84196-4","","",0.04,"","mg/L","","<RDL","","",1,"","",""
"43","Orthophosphate Phosphorus",0.0551,5e-04,0.002,"L84195_L84161-11",NA,"","mg/L","","REG","","SM4500-P-F","7/10/2024 8:08","7/10/2024 11:55","L84161-11","","",0.002,"","mg/L","","","","",1,"","",""
"44","Orthophosphate Phosphorus",0.0187,5e-04,0.002,"L84195_L84196-3",NA,"","mg/L","","REG","","SM4500-P-F","7/11/2024 8:13","7/11/2024 11:44","L84196-3","","",0.002,"","mg/L","","","","",1,"","",""
"45","Orthophosphate Phosphorus",0.0635,5e-04,0.002,"L84195_L84196-4",NA,"","mg/L","","REG","","SM4500-P-F","7/11/2024 8:13","7/11/2024 11:56","L84196-4","","",0.002,"","mg/L","","","","",1,"","",""
"46","pH, Field",7.81,NA,NA,"L84195_L84161-11",NA,"","pH","","REG","","KCEL SOP# 245","7/9/2024 10:29","7/9/2024 10:29","L84161-11","","",NA,"","pH","","","","",1,"","",""
"47","pH, Field",8,NA,NA,"L84195_L84195-3",NA,"","pH","","REG","","KCEL SOP# 245","7/10/2024 13:14","7/10/2024 13:14","L84195-3","","",NA,"","pH","","","","",1,"","",""
"48","pH, Field",7.27,NA,NA,"L84195_L84196-4",NA,"","pH","","REG","","KCEL SOP# 245","7/10/2024 12:46","7/10/2024 12:46","L84196-4","","",NA,"","pH","","","","",1,"","",""
"49","pH, Field",8.2,NA,NA,"L84195_L84196-3",NA,"","pH","","REG","","KCEL SOP# 245","7/10/2024 12:06","7/10/2024 12:06","L84196-3","","",NA,"","pH","","","","",1,"","",""
"50","Sample Temperature, Field",16.951,NA,NA,"L84195_L84161-11",NA,"","deg C","","REG","","KCEL SOP# 245","7/9/2024 10:29","7/9/2024 10:29","L84161-11","","",NA,"","deg C","","","","",1,"","",""
"51","Sample Temperature, Field",18.75,NA,NA,"L84195_L84195-3",NA,"","deg C","","REG","","KCEL SOP# 245","7/10/2024 13:14","7/10/2024 13:14","L84195-3","","",NA,"","deg C","","","","",1,"","",""
"52","Sample Temperature, Field",19.058,NA,NA,"L84195_L84196-3",NA,"","deg C","","REG","","KCEL SOP# 245","7/10/2024 12:06","7/10/2024 12:06","L84196-3","","",NA,"","deg C","","","","",1,"","",""
"53","Sample Temperature, Field",20.108,NA,NA,"L84195_L84196-4",NA,"","deg C","","REG","","KCEL SOP# 245","7/10/2024 12:46","7/10/2024 12:46","L84196-4","","",NA,"","deg C","","","","",1,"","",""
"54","Sampling Method",NA,NA,NA,"L84195_L84161-11",NA,"","none","","REG","","NONE","","","L84161-11","","",NA,"","none","","","","",1,"","",""
"55","Sampling Method",NA,NA,NA,"L84195_L84195-1",NA,"","none","","REG","","NONE","","","L84195-1","","",NA,"","none","","","","",1,"","",""
"56","Sampling Method",NA,NA,NA,"L84195_L84195-2",NA,"","none","","REG","","NONE","","","L84195-2","","",NA,"","none","","","","",1,"","",""
"57","Sampling Method",NA,NA,NA,"L84195_L84195-3",NA,"","none","","REG","","NONE","","","L84195-3","","",NA,"","none","","","","",1,"","",""
"58","Sampling Method",NA,NA,NA,"L84195_L84195-4",NA,"","none","","REG","","NONE","","","L84195-4","","",NA,"","none","","","","",1,"","",""
"59","Sampling Method",NA,NA,NA,"L84195_L84196-3",NA,"","none","","REG","","NONE","","","L84196-3","","",NA,"","none","","","","",1,"","",""
"60","Sampling Method",NA,NA,NA,"L84195_L84196-4",NA,"","none","","REG","","NONE","","","L84196-4","","",NA,"","none","","","","",1,"","",""
"61","Silica",27.9,0.2,1,"L84195_L84161-11",NA,"","mg/L","","REG","","WHITLEDGE 1981","7/12/2024 7:59","7/12/2024 11:36","L84161-11","","",1,"","mg/L","","","","",1,"","",""
"62","Silica",27.5,0.2,1,"L84195_L84196-4",NA,"","mg/L","","REG","","WHITLEDGE 1981","7/12/2024 7:59","7/12/2024 11:57","L84196-4","","",1,"","mg/L","","","","",1,"","",""
"63","Total Alkalinity",59.7,1,5,"L84195_L84161-11",NA,"","mg CaCO3/L","","REG","","SM2320-B","7/10/2024 16:54","7/10/2024 16:54","L84161-11","","",5,"","mg CaCO3/L","","","","",1,"","",""
"64","Total Alkalinity",240,1,5,"L84195_L84196-3",NA,"","mg CaCO3/L","","REG","","SM2320-B","7/11/2024 10:42","7/11/2024 10:42","L84196-3","","",5,"","mg CaCO3/L","","","","",1,"","",""
"65","Total Alkalinity",117,1,5,"L84195_L84196-4",NA,"","mg CaCO3/L","","REG","","SM2320-B","7/11/2024 10:51","7/11/2024 10:51","L84196-4","","",5,"","mg CaCO3/L","","","","",1,"","",""
"66","Total Nitrogen",0.77,0.05,0.2,"L84195_L84161-11",NA,"","mg/L","","REG","","SM4500-N-C","7/11/2024 11:47","7/19/2024 9:52","L84161-11","","",0.2,"","mg/L","","","","",1,"","",""
"67","Total Nitrogen",0.781,0.05,0.2,"L84195_L84195-3",NA,"","mg/L","","REG","","SM4500-N-C","7/11/2024 11:47","7/19/2024 10:34","L84195-3","","",0.2,"","mg/L","","","","",1,"","",""
"68","Total Nitrogen",0.452,0.05,0.2,"L84195_L84196-3",NA,"","mg/L","","REG","","SM4500-N-C","7/11/2024 11:47","7/19/2024 10:40","L84196-3","","",0.2,"","mg/L","","","","",1,"","",""
"69","Total Nitrogen",0.405,0.05,0.2,"L84195_L84196-4",NA,"","mg/L","","REG","","SM4500-N-C","7/11/2024 11:47","7/19/2024 10:42","L84196-4","","",0.2,"","mg/L","","","","",1,"","",""
"70","Total Phosphorus",0.0885,0.005,0.02,"L84195_L84161-11","7723-14-0","","mg/L","","REG","","SM4500-P-B,F","7/11/2024 11:47","7/31/2024 12:33","L84161-11","","",0.02,"","mg/L","","","","",1,"","",""
"71","Total Phosphorus",0.0648,0.005,0.02,"L84195_L84196-3","7723-14-0","","mg/L","","REG","","SM4500-P-B,F","7/11/2024 11:47","7/31/2024 13:23","L84196-3","","",0.02,"","mg/L","","","","",1,"","",""
"72","Total Phosphorus",0.0848,0.005,0.02,"L84195_L84195-3","7723-14-0","","mg/L","","REG","","SM4500-P-B,F","7/11/2024 11:47","7/31/2024 13:16","L84195-3","","",0.02,"","mg/L","","","","",1,"","",""
"73","Total Phosphorus",0.151,0.005,0.02,"L84195_L84196-4","7723-14-0","","mg/L","","REG","","SM4500-P-B,F","7/11/2024 11:47","7/31/2024 13:27","L84196-4","","",0.02,"","mg/L","","","","",1,"","",""
"74","Total Suspended Solids",0.99,0.55,2.2,"L84195_L84161-11",NA,"","mg/L","","REG","","SM2540-D","7/11/2024 10:50","7/12/2024 17:10","L84161-11","","",2.2,"","mg/L","","<RDL","","",1.099,"","",""
"75","Total Suspended Solids",2.14,0.51,2.04,"L84195_L84195-3",NA,"","mg/L","","REG","","SM2540-D","7/11/2024 17:11","7/12/2024 17:26","L84195-3","","",2.04,"","mg/L","","","","",1.02,"","",""
"76","Total Suspended Solids",33.4,0.51,2.04,"L84195_L84196-3",NA,"","mg/L","","REG","","SM2540-D","7/11/2024 17:11","7/12/2024 17:27","L84196-3","","",2.04,"","mg/L","","","","",1.02,"","",""
"77","Total Suspended Solids",4.8,0.51,2.04,"L84195_L84196-4",NA,"","mg/L","","REG","","SM2540-D","7/11/2024 17:11","7/12/2024 17:28","L84196-4","","",2.04,"","mg/L","","","","",1.02,"","",""
"78","Turbidity",0.75,0.2,1,"L84195_L84161-11",NA,"","NTU","","REG","","SM2130-B","7/11/2024 13:24","7/11/2024 13:24","L84161-11","","",1,"","NTU","","<RDL","","",1,"","",""
"79","Turbidity",2.21,0.2,1,"L84195_L84195-3",NA,"","NTU","","REG","","SM2130-B","7/11/2024 13:42","7/11/2024 13:42","L84195-3","","",1,"","NTU","","","","",1,"","",""
"80","Turbidity",10.6,0.2,1,"L84195_L84196-3",NA,"","NTU","","REG","","SM2130-B","7/11/2024 13:46","7/11/2024 13:46","L84196-3","","",1,"","NTU","","","","",1,"","",""
"81","Turbidity",5.99,0.2,1,"L84195_L84196-4",NA,"","NTU","","REG","","SM2130-B","7/11/2024 13:48","7/11/2024 13:48","L84196-4","","",1,"","NTU","","","","",1,"","",""
"82","Zinc, Dissolved, ICP-MS",NA,0.5,2.5,"L84195_L84195-1",NA,"","ug/L","","REG","","EPA 200.8 (MOD)","7/17/2024 8:32","7/24/2024 8:41","L84195-1","","",2.5,"","ug/L","","<MDL","","",1,"","",""
"83","Zinc, Dissolved, ICP-MS",2.82,0.5,2.5,"L84195_L84195-2",NA,"","ug/L","","REG","","EPA 200.8 (MOD)","7/17/2024 8:32","7/24/2024 8:44","L84195-2","","",2.5,"","ug/L","","","","",1,"","",""
"84","Zinc, Dissolved, ICP-MS",4.22,0.5,2.5,"L84195_L84195-3",NA,"","ug/L","","REG","","EPA 200.8 (MOD)","7/17/2024 8:32","7/24/2024 8:56","L84195-3","","",2.5,"","ug/L","","","","",1,"","",""
"85","Zinc, Dissolved, ICP-MS",2.4,0.5,2.5,"L84195_L84195-4",NA,"","ug/L","","REG","","EPA 200.8 (MOD)","7/17/2024 8:32","7/24/2024 9:00","L84195-4","","",2.5,"","ug/L","","<RDL","","",1,"","",""
