Lab ID,Locator,Depth(m),Collect Date,Preparation Date,Analysis Date,Parameter Name,Method,Result,Units,Qualifier,DF,MDL,RDL,Textvalue
L84196-3,'0442,,7/10/2024 12:06,7/11/2024 11:47,7/19/2024 10:40,Total Nitrogen,SM4500-N-C,0.452,mg/L,,1,0.05,0.2,
L84196-3,'0442,,7/10/2024 12:06,7/11/2024 11:47,7/31/2024 13:23,Total Phosphorus,"SM4500-P-B,F",0.0648,mg/L,,1,0.005,0.02,
L84196-3,'0442,,7/10/2024 12:06,7/11/2024 8:13,7/11/2024 11:44,Ammonia Nitrogen,KEROUEL & AMINOT 1997,0.0196,mg/L,,1,0.002,0.01,
L84196-3,'0442,,7/10/2024 12:06,7/11/2024 8:13,7/11/2024 11:44,Nitrite + Nitrate Nitrogen,SM4500-NO3-F,0.192,mg/L,,1,0.01,0.04,
L84196-3,'0442,,7/10/2024 12:06,7/11/2024 8:13,7/11/2024 11:44,Orthophosphate Phosphorus,SM4500-P-F,0.0187,mg/L,,1,0.0005,0.002,
L84196-3,'0442,,7/10/2024 12:06,7/11/2024 13:46,7/11/2024 13:46,Turbidity,SM2130-B,10.6,NTU,,1,0.2,1,
L84196-3,'0442,,7/10/2024 12:06,7/11/2024 10:42,7/11/2024 10:42,Total Alkalinity,SM2320-B,240,mg CaCO3/L,,1,1,5,
L84196-3,'0442,,7/10/2024 12:06,7/11/2024 17:11,7/12/2024 17:27,Total Suspended Solids,SM2540-D,33.4,mg/L,,1.02,0.51,2.04,
L84196-3,'0442,,7/10/2024 12:06,7/10/2024 12:06,7/10/2024 12:06,"Conductivity, Field",KCEL SOP# 245,645,umhos/cm,,1,0.5,10,
L84196-3,'0442,,7/10/2024 12:06,7/10/2024 12:06,7/10/2024 12:06,"Dissolved Oxygen, Field",KCEL SOP# 245,9.81,mg/L,,1,0.5,1,
L84196-3,'0442,,7/10/2024 12:06,,,Field Personnel,NONE,,none,,1,,,MM
L84196-3,'0442,,7/10/2024 12:06,7/10/2024 12:06,7/10/2024 12:06,"Sample Temperature, Field",KCEL SOP# 245,19.058,deg C,,1,,,
L84196-3,'0442,,7/10/2024 12:06,,,Sampling Method,NONE,,none,,1,,,"11011, 60301, 18100"
L84196-3,'0442,,7/10/2024 12:06,7/10/2024 12:06,7/10/2024 12:06,"pH, Field",KCEL SOP# 245,8.2,pH,,1,,,
L84196-4,'0444,,7/10/2024 12:46,7/10/2024 14:55,7/11/2024 12:55,Escherichia coli,SM 9213D3B 23RD,78,CFU/100ml,,1,,,
L84196-4,'0444,,7/10/2024 12:46,7/11/2024 11:47,7/19/2024 10:42,Total Nitrogen,SM4500-N-C,0.405,mg/L,,1,0.05,0.2,
L84196-4,'0444,,7/10/2024 12:46,7/11/2024 11:47,7/31/2024 13:27,Total Phosphorus,"SM4500-P-B,F",0.151,mg/L,,1,0.005,0.02,
L84196-4,'0444,,7/10/2024 12:46,7/11/2024 8:13,7/11/2024 11:56,Ammonia Nitrogen,KEROUEL & AMINOT 1997,0.0175,mg/L,,1,0.002,0.01,
L84196-4,'0444,,7/10/2024 12:46,7/11/2024 8:13,7/11/2024 11:56,Nitrite + Nitrate Nitrogen,SM4500-NO3-F,0.019,mg/L,<RDL,1,0.01,0.04,
L84196-4,'0444,,7/10/2024 12:46,7/11/2024 8:13,7/11/2024 11:56,Orthophosphate Phosphorus,SM4500-P-F,0.0635,mg/L,,1,0.0005,0.002,
L84196-4,'0444,,7/10/2024 12:46,7/11/2024 13:48,7/11/2024 13:48,Turbidity,SM2130-B,5.99,NTU,,1,0.2,1,
L84196-4,'0444,,7/10/2024 12:46,7/11/2024 10:51,7/11/2024 10:51,Total Alkalinity,SM2320-B,117,mg CaCO3/L,,1,1,5,
L84196-4,'0444,,7/10/2024 12:46,7/11/2024 17:11,7/12/2024 17:28,Total Suspended Solids,SM2540-D,4.8,mg/L,,1.02,0.51,2.04,
L84196-4,'0444,,7/10/2024 12:46,7/12/2024 7:59,7/12/2024 11:57,Silica,WHITLEDGE 1981,27.5,mg/L,,1,0.2,1,
L84196-4,'0444,,7/10/2024 12:46,7/10/2024 12:46,7/10/2024 12:46,"Conductivity, Field",KCEL SOP# 245,286.9,umhos/cm,,1,0.5,10,
L84196-4,'0444,,7/10/2024 12:46,7/10/2024 12:46,7/10/2024 12:46,"Dissolved Oxygen, Field",KCEL SOP# 245,4.88,mg/L,,1,0.5,1,
L84196-4,'0444,,7/10/2024 12:46,,,Field Personnel,NONE,,none,,1,,,MM
L84196-4,'0444,,7/10/2024 12:46,7/10/2024 12:46,7/10/2024 12:46,"Sample Temperature, Field",KCEL SOP# 245,20.108,deg C,,1,,,
L84196-4,'0444,,7/10/2024 12:46,,,Sampling Method,NONE,,none,,1,,,"11011, 60301, 18100"
L84196-4,'0444,,7/10/2024 12:46,7/10/2024 12:46,7/10/2024 12:46,"pH, Field",KCEL SOP# 245,7.27,pH,,1,,,
